,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_337.nii.gz,0.953613358,0.960897436,0.999677647,0.946936197,0.999446869,0.053063803,0.000322353,0.946936197,0.99976589,0.953865733,0.997106287,0.956666028,0.980287542,0.953865733
MRI_640.nii.gz,0.93647844,0.926342711,0.999615664,0.947671376,0.999069214,0.052328624,0.000384336,0.947671376,0.99944665,0.93688567,0.996551579,0.932639819,0.962979187,0.93688567
MRI_319.nii.gz,0.849263623,0.929086083,0.997325698,0.779262087,0.996639252,0.220737913,0.002674302,0.779262087,0.999277992,0.847604221,0.976435435,0.878419562,0.963205891,0.847604221
MRI_559.nii.gz,0.965337322,0.946435503,0.999610872,0.986646884,0.99804306,0.013353116,0.000389128,0.986646884,0.99837475,0.966122961,0.996508716,0.958150501,0.973023187,0.966122961
MRI_488.nii.gz,0.913372707,0.912073909,0.998996158,0.916746718,0.997955322,0.083253282,0.001003842,0.916746718,0.998934449,0.914404344,0.991037402,0.913470742,0.955535034,0.914404344
MRI_492.nii.gz,0.972182617,0.983858716,0.999198063,0.961759792,0.998889923,0.038240208,0.000801937,0.961759792,0.999668948,0.972683751,0.992828574,0.977123135,0.99152839,0.972683751
MRI_062.nii.gz,0.844557922,0.850461133,0.999059956,0.840494792,0.998199463,0.159505208,0.000940044,0.840494792,0.99912896,0.845448592,0.991602751,0.847446501,0.924760544,0.845448592
MRI_757.nii.gz,0.838031289,0.805169753,0.998855721,0.875419463,0.996940613,0.124580537,0.001144279,0.875419463,0.998055898,0.838826367,0.989794905,0.825031626,0.902012737,0.838826367
MRI_135.nii.gz,0.660445537,0.998947738,0.986177799,0.44278607,0.986316681,0.55721393,0.013822201,0.44278607,0.999988268,0.613594743,0.887986387,0.72554964,0.992562768,0.613594743
MRI_173.nii.gz,0.676065189,0.465881397,0.999938386,0.986242476,0.994922638,0.013757524,6.16E-05,0.986242476,0.994961319,0.632827586,0.999445749,0.55349129,0.732909892,0.632827586
MRI_815.nii.gz,0.866053959,0.892324805,0.997147282,0.845132743,0.995349884,0.154867257,0.002852718,0.845132743,0.998119644,0.868087869,0.974898398,0.877622913,0.944736044,0.868087869
MRI_688.nii.gz,0.900527483,0.98044895,0.998922393,0.828134557,0.998825073,0.171865443,0.001077607,0.828134557,0.999896357,0.897877984,0.990384433,0.929179248,0.989685672,0.897877984
MRI_546.nii.gz,0.982934964,0.969483058,0.999920929,0.997764614,0.998851776,0.002235386,7.91E-05,0.997764614,0.998890192,0.983420545,0.999288807,0.977797737,0.984701993,0.983420545
MRI_165.nii.gz,0.450064736,0.306809184,0.994703222,0.698985344,0.96818924,0.301014656,0.005296778,0.698985344,0.972822059,0.426439232,0.9542669,0.368902693,0.650756203,0.426439232
